StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Lg_decision,PoB1_E,PoB2_E,PoB4_E,PoB6_E,PoB7_E,AttentionCheck,PoB8_E,PoB9_E,PoB10_E,PoB12_E,PoB13_E,PoB1_S,PoB2_S,PoB4_S,PoB6_S,PoB7_S,AttentionCheck_S,PoB8_S,PoB9_S,PoB10_S,PoB12_S,PoB13_S,L1,L1_2_TEXT,L2,L2_3_TEXT,Education,Education_y,Age,Birthplace,Birthplace_2_TEXT,Ethnicity,Sex,Q44,SC0,Random ID
2019-11-27 15:22:46,2019-11-27 15:24:18,IP Address,100,92,True,2019-11-27 15:24:18,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,28,In the US,NA,White alone (not Hispanic),Female,No,42,446589
2019-11-27 15:21:20,2019-11-27 15:24:43,IP Address,100,202,True,2019-11-27 15:24:43,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,60,In the US,NA,White alone (not Hispanic),Female,No,25,983401
2019-11-27 15:17:52,2019-11-27 15:25:04,IP Address,100,431,True,2019-11-27 15:25:04,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Somewhat disagree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,54,In the US,NA,White alone (not Hispanic),Female,Yes,46,598501
2019-11-27 15:26:54,2019-11-27 15:28:25,IP Address,100,90,True,2019-11-27 15:28:25,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Disagree,Somewhat agree,Disagree,Disagree,Strongly disagree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,"Other, please specify:",korean,College graduate,16,31,In the US,NA,Asian or Pacific Islander,Female,No,34,789576
2019-11-27 15:27:45,2019-11-27 15:29:52,IP Address,100,126,True,2019-11-27 15:29:52,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,44,In the US,NA,Mixed race or other,Female,No,38,220836
2019-11-27 15:27:43,2019-11-27 15:30:28,IP Address,100,165,True,2019-11-27 15:30:28,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat disagree,Strongly agree,Somewhat agree,Agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, please specify:",Chinese,English,NA,Graduate school degree,24,34,"Outside the US, please specify:",China,Asian or Pacific Islander,Female,Yes,52,984181
2019-11-27 15:26:28,2019-11-27 15:30:33,IP Address,100,245,True,2019-11-27 15:30:33,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Graduate school degree,17,66,In the US,NA,White alone (not Hispanic),Male,No,39,218485
2019-11-27 15:26:51,2019-11-27 15:30:55,IP Address,100,244,True,2019-11-27 15:30:56,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,18,59,"Outside the US, please specify:",Spain,White alone (not Hispanic),Male,No,37,343290
2019-11-27 15:23:10,2019-11-27 15:31:34,IP Address,100,503,True,2019-11-27 15:31:34,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,4,59,In the US,NA,White alone (not Hispanic),Male,No,54,988270
2019-11-27 15:11:27,2019-11-27 15:32:38,IP Address,100,1270,True,2019-11-27 15:32:38,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,NA,Disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,51,"Outside the US, please specify:",Canada,White alone (not Hispanic),Female,No,36,750967
2019-11-27 15:31:47,2019-11-27 15:33:05,IP Address,100,78,True,2019-11-27 15:33:05,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,34,In the US,NA,White alone (not Hispanic),Female,No,49,247837
2019-11-27 15:36:23,2019-11-27 15:41:14,IP Address,100,291,True,2019-11-27 15:41:14,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Agree,Somewhat agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,16,32,In the US,NA,Hispanic,Male,Yes,43,889624
2019-11-27 15:41:22,2019-11-27 15:43:44,IP Address,100,142,True,2019-11-27 15:43:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,16,41,In the US,NA,White alone (not Hispanic),Female,Yes,60,843177
2019-11-27 15:45:42,2019-11-27 15:47:43,IP Address,100,120,True,2019-11-27 15:47:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Disagree,Agree,Agree,Agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,69,In the US,NA,White alone (not Hispanic),Female,No,46,483683
2019-11-27 15:45:31,2019-11-27 15:47:53,IP Address,100,141,True,2019-11-27 15:47:53,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Agree,Somewhat disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,14,25,In the US,NA,White alone (not Hispanic),Male,Yes,44,451710
2019-11-27 15:48:49,2019-11-27 15:50:04,IP Address,100,74,True,2019-11-27 15:50:04,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,24,In the US,NA,Mixed race or other,Male,No,44,878727
2019-11-27 15:41:17,2019-11-27 15:56:05,IP Address,100,887,True,2019-11-27 15:56:05,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,10,26,In the US,NA,Black,Male,Yes,59,131301
2019-11-27 15:54:51,2019-11-27 15:58:40,IP Address,100,229,True,2019-11-27 15:58:41,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,16,29,In the US,NA,White alone (not Hispanic),Male,Yes,46,843332
2019-11-27 15:59:57,2019-11-27 16:07:45,IP Address,100,467,True,2019-11-27 16:07:45,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Agree,Somewhat agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,39,In the US,NA,White alone (not Hispanic),Male,No,50,639814
2019-11-27 16:11:16,2019-11-27 16:13:23,IP Address,100,127,True,2019-11-27 16:13:23,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Somewhat disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Somewhat agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,12,26,In the US,NA,White alone (not Hispanic),Male,No,38,152017
2019-11-27 16:09:15,2019-11-27 16:15:06,IP Address,100,351,True,2019-11-27 16:15:07,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,22,In the US,NA,Black,Female,Yes,41,330166
2019-11-27 16:13:48,2019-11-27 16:15:34,IP Address,100,105,True,2019-11-27 16:15:34,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Some college or ass. degree,15,28,In the US,NA,Hispanic,Male,Yes,42,686976
2019-11-27 16:15:23,2019-11-27 16:16:44,IP Address,100,80,True,2019-11-27 16:16:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Disagree,Disagree,Somewhat agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,12,37,In the US,NA,White alone (not Hispanic),Male,No,40,317369
2019-11-27 16:21:00,2019-11-27 16:23:15,IP Address,100,135,True,2019-11-27 16:23:16,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,"Other, please specify:",Filipino,College graduate,30,37,"Outside the US, please specify:",Philippines,Asian or Pacific Islander,Male,Yes,49,236640
2019-11-27 16:22:31,2019-11-27 16:24:11,IP Address,100,99,True,2019-11-27 16:24:11,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,11,25,In the US,NA,White alone (not Hispanic),Female,No,53,603351
2019-11-27 16:25:22,2019-11-27 16:26:58,IP Address,100,95,True,2019-11-27 16:26:58,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,16,27,In the US,NA,White alone (not Hispanic),Female,No,54,312402
2019-11-27 16:30:56,2019-11-27 16:31:50,IP Address,100,53,True,2019-11-27 16:31:50,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,17,31,In the US,NA,White alone (not Hispanic),Male,No,40,930160
2019-11-27 16:38:08,2019-11-27 16:38:55,IP Address,100,47,True,2019-11-27 16:38:56,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,12,23,In the US,NA,White alone (not Hispanic),Male,No,50,255176
2019-11-27 16:41:47,2019-11-27 16:42:53,IP Address,100,65,True,2019-11-27 16:42:53,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,15,32,In the US,NA,White alone (not Hispanic),Female,No,42,515049
2019-11-27 16:47:20,2019-11-27 16:48:45,IP Address,100,85,True,2019-11-27 16:48:45,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,College graduate,16,27,In the US,NA,White alone (not Hispanic),Female,Yes,51,943145
2019-11-27 16:47:33,2019-11-27 16:49:04,IP Address,100,91,True,2019-11-27 16:49:04,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Agree,Somewhat agree,Agree,Agree,Strongly disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,16,24,NA,NA,White alone (not Hispanic),Male,No,45,416218
2019-11-27 16:45:18,2019-11-27 16:49:52,IP Address,100,273,True,2019-11-27 16:49:52,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other, please specify:",Portuguese,English,NA,High school graduate,12,18,"Outside the US, please specify:",Brazil,White alone (not Hispanic),Male,No,41,387180
2019-11-27 16:49:14,2019-11-27 16:51:16,IP Address,100,121,True,2019-11-27 16:51:16,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,31,In the US,NA,White alone (not Hispanic),Female,No,58,232945
2019-11-27 16:47:26,2019-11-27 16:51:43,IP Address,100,257,True,2019-11-27 16:51:44,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Disagree,Strongly disagree,Agree,Somewhat agree,Disagree,Strongly disagree,Agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,21,51,In the US,NA,Black,Female,No,39,858393
2019-11-27 16:49:59,2019-11-27 16:52:17,IP Address,100,137,True,2019-11-27 16:52:17,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,High school graduate,12,24,In the US,NA,White alone (not Hispanic),Male,No,36,626794
2019-11-27 16:51:58,2019-11-27 16:53:48,IP Address,100,110,True,2019-11-27 16:53:48,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Agree,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,17,29,In the US,NA,White alone (not Hispanic),Male,Yes,45,222512
2019-11-27 16:59:27,2019-11-27 17:00:51,IP Address,100,84,True,2019-11-27 17:00:52,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Somewhat agree,Somewhat agree,Disagree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Some college or ass. degree,15,47,In the US,NA,White alone (not Hispanic),Male,No,30,445605
2019-11-27 17:14:23,2019-11-27 17:18:15,IP Address,100,232,True,2019-11-27 17:18:16,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Some college or ass. degree,15,29,In the US,NA,Hispanic,Male,Yes,40,462340
2019-11-27 17:26:57,2019-11-27 17:29:34,IP Address,100,156,True,2019-11-27 17:29:34,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Graduate school degree,10,26,In the US,NA,Black,Male,Yes,56,300950
2019-11-27 17:41:47,2019-11-27 17:43:57,IP Address,100,129,True,2019-11-27 17:43:57,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,Spanish,NA,Some college or ass. degree,15,39,In the US,NA,White alone (not Hispanic),Male,No,45,873062
2019-11-27 18:13:23,2019-11-27 18:15:41,IP Address,100,137,True,2019-11-27 18:15:41,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Agree,Agree,Somewhat agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,College graduate,17,40,In the US,NA,White alone (not Hispanic),Female,No,45,808144
2019-11-27 18:43:15,2019-11-27 18:45:26,IP Address,100,130,True,2019-11-27 18:45:26,NA,NA,NA,NA,anonymous,EN,I wish to participate  in this research study and do so voluntarily.,English,Somewhat disagree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Strongly agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,English,NA,I do not speak a second language.,NA,Graduate school degree,18,53,In the US,NA,White alone (not Hispanic),Male,No,44,100944
